Time	QoE	Resolution	FPS
10	4.402302471095659	480	30
20	4.402344744522789	480	30
30	4.402330710465547	480	30
40	4.402149735059163	480	30
50	4.402074031880623	480	30
60	4.40039371254656	480	30
70	4.400287787807292	480	30
80	4.4003363205275265	480	30
90	4.397705595581949	480	30
100	4.405243868528574	480	30
110	4.405133266044929	480	30
120	4.405030890996376	480	30
130	4.404934994375911	480	30
140	4.40485792723485	480	30
150	4.409859447591795	480	30
160	4.409805442852778	480	30
170	4.409757304273754	480	30
180	4.40969633087458	480	30
190	4.409657901444826	480	30
200	4.409711769986619	480	30
210	4.409694632584531	480	30
220	4.409661372865453	480	30
230	4.4081186334574385	480	60
240	4.408060107826472	480	60
250	4.408031139862568	480	60
260	4.408014142372823	480	60
270	4.409579406853091	480	30
280	4.409572675503205	480	30
290	4.409558739736386	480	30
300	4.409549402825237	480	30
310	4.40801191221162	480	60
320	4.409525322213853	480	30
330	4.409507647286108	480	30
340	4.407970539780921	480	60
350	4.407985483596685	480	60
360	4.407974363867936	480	60
370	4.407960284277988	480	60
